target word, context entropy, partial-context entropy, no-context entropy, , top cosine, basic cosine, bottom cosine, , top overlap, basic overlap, bottom overlap
pieces,0.2456024148046603,0.35653893537907133,0.21019559570177257, ,0.9839442128999066,0.999103581562617,0.999103581562617, ,0.7058823529411765,0.8627450980392157,0.8627450980392157
diverted,0.5934373517133151,0.7039298231127695,0.6504693314917649, ,0.6919926499431507,0.7238471675878673,0.7238471675878673, ,0.4117647058823529,0.5098039215686274,0.5098039215686274
possessor,0.18616058075530684,0.05001760845605149,0.09252170371533079, ,0.9970811928547193,0.9985480175400635,0.9985480175400635, ,0.8235294117647058,0.8823529411764706,0.8823529411764706
perils,0.22159734478241844,0.31920132642181814,0.2930200369318841, ,0.9824308636568633,0.997965153808792,0.997965153808792, ,0.6862745098039216,0.8431372549019608,0.8431372549019608
retained,0.1990086939035291,0.39503599265382183,0.1878977795044927, ,0.9991508330917331,0.9863865013892006,0.9863865013892006, ,0.7058823529411765,0.8431372549019608,0.8431372549019608
residence,0.20749057374943045,0.2852907828401714,0.22188430741411713, ,0.9702753961982895,0.9884911775865024,0.9884911775865024, ,0.7254901960784313,0.803921568627451,0.803921568627451
procured,0.5445336638951069,0.5635953417671389,0.5844016017555917, ,0.8755089300647567,0.8732992472623813,0.8732992472623813, ,0.37254901960784315,0.6078431372549019,0.6078431372549019
convened,0.596649396952318,0.5226346287347946,0.6525146881360069, ,0.6773713760325937,0.8897122202117583,0.8897122202117583, ,0.4117647058823529,0.5294117647058824,0.5294117647058824
vital,0.42487725359668477,0.38491967191040727,0.46886693040695493, ,0.8442485085605025,0.9642536530634856,0.9642536530634856, ,0.5686274509803921,0.8431372549019608,0.8431372549019608
acquired,0.5083475197315094,0.44690936555970123,0.5967634676872842, ,0.5656951076653609,0.9724871120358566,0.9724871120358566, ,0.45098039215686275,0.7254901960784313,0.7254901960784313
abundance,0.6514072097706975,0.6879092688592087,0.7426256515370578, ,0.7422728107521713,0.9142860864300504,0.9142860864300504, ,0.3333333333333333,0.5294117647058824,0.5294117647058824
substantial,0.3649026927167469,0.6257328755771263,0.43477873044974275, ,0.6307370692655688,0.9928775348512833,0.9928775348512833, ,0.29411764705882354,0.6862745098039216,0.6862745098039216
arid,0.07486772429873191,0.07486772429873191,0.09588982867042527, ,0.9999999999999998,0.9977306584652561,0.9977306584652561, ,0.9411764705882353,0.9019607843137255,0.9019607843137255
meandered,0.44503923363127423,0.5265429335681641,0.47831477176951953, ,0.9967049263293408,0.9842554438451527,0.9842554438451527, ,0.6862745098039216,0.6274509803921569,0.6274509803921569
generated,0.38462432238408856,0.36867136908269765,0.3010616579970133, ,0.9804229102471661,0.969761305062985,0.969761305062985, ,0.7450980392156863,0.7843137254901961,0.7843137254901961
comprise,0.4926825360027845,0.6173744871577003,0.5103930075428837, ,0.4474503026100368,0.6205866717500294,0.6205866717500294, ,0.35294117647058826,0.4117647058823529,0.4117647058823529
secures,0.5146356832338109,0.6839846059461938,0.6377138118521939, ,0.272138863686403,0.8409551025452832,0.8409551025452832, ,0.21568627450980393,0.43137254901960786,0.43137254901960786
career,0.4057685565664791,0.2720535796676433,0.26243692587939793, ,0.9446128865522442,0.9836872626177315,0.9836872626177315, ,0.5882352941176471,0.7058823529411765,0.7058823529411765
refuses,0.608411962781585,0.6349320516164113,0.6551176739450668, ,0.8027748282630092,0.9788462831527229,0.9788462831527229, ,0.29411764705882354,0.5686274509803921,0.5686274509803921
casualties,0.23901609353189776,0.523428465417318,0.43977010573464564, ,0.8621247695837743,0.9830421461276558,0.9830421461276558, ,0.49019607843137253,0.7450980392156863,0.7450980392156863
transmitting,0.5168286804108106,0.5382356207733108,0.46244764450750697, ,0.8369099108240344,0.9244774036244793,0.9244774036244793, ,0.5490196078431373,0.6078431372549019,0.6078431372549019
released,0.7231007918699768,0.6761643992601388,0.7278669585571548, ,0.36332182105828664,0.4854426129403434,0.4854426129403434, ,0.2549019607843137,0.4117647058823529,0.4117647058823529
circumstances,0.352765089352105,0.5909776077863919,0.4238834046026325, ,0.9240168324218909,0.9988735377268041,0.9988735377268041, ,0.11764705882352941,0.8235294117647058,0.8235294117647058
disbanded,0.5363698750020732,0.7286143720077749,0.6579313087818641, ,0.8146482070135334,0.9676424606492393,0.9676424606492393, ,0.5294117647058824,0.6862745098039216,0.6862745098039216
envisaged,0.4499409416949558,0.46824322812412283,0.4397575011539104, ,0.9134804646406052,0.9493988337442307,0.9493988337442307, ,0.6078431372549019,0.6470588235294118,0.6470588235294118
fuselage,0.44374746444246777,0.6005247045187375,0.34096555727236166, ,0.9205075455498133,0.9964563132712344,0.9964563132712344, ,0.5294117647058824,0.7254901960784313,0.7254901960784313
acquisition,0.48351468931210156,0.8246449172641331,0.6529601176963862, ,0.8541015364104614,0.9747812443499337,0.9747812443499337, ,0.39215686274509803,0.5882352941176471,0.5882352941176471
endorsed,0.4364068981062284,0.5512201066324816,0.4466632880970763, ,0.9780818658461684,0.9917662449532688,0.9917662449532688, ,0.6470588235294118,0.7254901960784313,0.7254901960784313
