intensified-grew, 705, 5612, 4907
received-got, 18857, 5931, -12926
sovereign-ruler, 1752, 1940, 188
sovereign-king, 1752, 26668, 24916
installment-episode, 363, 9553, 9190
installment-part, 363, 53380, 53017
obligated-required, 135, 10139, 10004
obligated-forced, 135, 7715, 7580
published-written, 17271, 16943, -328
published-printed, 17271, 2446, -14825
carcass-body, 138, 17377, 17239
satellite-moon, 2802, 4438, 1636
ancient-old, 11841, 26221, 14380
practice-habit, 9319, 587, -8732
practice-way, 9319, 23435, 14116
edited-changed, 1303, 10097, 8794
edited-revised, 1303, 1580, 277
invaded-attacked, 1509, 3355, 1846
antagonist-enemy, 422, 3272, 2850
combat-fight, 3265, 5174, 1909
predominantly-mainly, 1719, 8083, 6364
predominantly-mostly, 1719, 9774, 8055
retired-former, 3834, 23808, 19974
retired-quit, 3834, 977, -2857
founded-created, 11843, 17207, 5364
founded-started, 11843, 14670, 2827
longevity-old, 293, 26221, 25928
settled-moved, 5091, 15276, 10185
produced-created, 18048, 17207, -841
produced-made, 18048, 65098, 47050
competitions-contests, 1889, 491, -1398
footballer-player, 1514, 18157, 16643
footballer-athlete, 1514, 573, -941
conceals-hides, 35, 317, 282
express-show, 3676, 30304, 26628
